"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Spider-Man",2003,"The Party",1,1,1,6.7,181,"tt0706898","tt0290983"
"Spider-Man",2003,"Keeping Secrets",1,2,2,6.4,156,"tt0706891","tt0290983"
"Spider-Man",2003,"Spider-Man Dis-Sabled",1,3,3,6.6,136,"tt0706896","tt0290983"
"Spider-Man",2003,"Tight Squeeze",1,4,4,6.7,152,"tt0706899","tt0290983"
"Spider-Man",2003,"Royal Scam",1,5,5,6.7,141,"tt0706895","tt0290983"
"Spider-Man",2003,"Heroes and Villains",1,6,6,6.3,150,"tt0706890","tt0290983"
"Spider-Man",2003,"Head Over Heels",1,7,7,6.1,138,"tt0706889","tt0290983"
"Spider-Man",2003,"Law of the Jungle",1,8,8,6.8,151,"tt0706892","tt0290983"
"Spider-Man",2003,"Flash Memory",1,9,9,6.3,132,"tt0706888","tt0290983"
"Spider-Man",2003,"When Sparks Fly",1,10,10,6.7,141,"tt0706900","tt0290983"
"Spider-Man",2003,"Sword of Shikata",1,11,11,6.6,149,"tt0706897","tt0290983"
"Spider-Man",2003,"Mind Games: Part 1",1,12,12,7.4,163,"tt0706893","tt0290983"
"Spider-Man",2003,"Mind Games: Part 2",1,13,13,7.4,163,"tt0706894","tt0290983"
